CodCategoria;Categoria;Descricao;NomeDeGrupo
DIG105;Cosméticos e Produtos De Toalete;Absorventes, Antiperspirantes e Desodorantes, Aparelhos e Lâminas de Barbear, Bronzeadores ou Protetores Solares, Cotonetes, Cremes e Fios Dentais, Escovas e Pentes em Geral, Fraldas, Papéis Sanitários, Sabonetes e outros Produtos para o Banho, Perfumes e Essências, Produtos de Maquiagem em Geral, Tinturas.;Falso;
DIG106;Cultura e Educação;Colégios, Cursos em Geral, Exposições, Fascículos, Festivais, Filmes, Filmes em Vídeo, Gravações Musicais em Disco, Cassete ou CD, Livros, Operas, Peças Teatrais, Shows Musicais, Universidades.;Falso;
DIG107;Eletrodomésticos;Aspiradores de Pó, Batedeiras, Cafeteiras, Chuveiros Elétricos e Duchas Elétricas, Enceradeiras, Espremedores, Fogões, Fornos, Freezers, Fritadeiras, Geladeiras, Lava-Louças, Lava-Pratos, Liqüidificadores, Máquinas de Costura, Multiprocessadores, Secadoras, Torradeiras, Ventiladores.;Falso;
DIG108;Imobiliário;Administradoras de Imóveis, Locação e Vendas (de Apartamentos, Apart-Hotéis, Casas, Centros Comerciais e Shopping Centers, Condomínios, Escritórios, Fazendas, Lojas, Lotes e Terrenos).;Falso;
DIG109;Institucional Ou Corporativo;Trabalhos para qualquer tipo de anunciante, mas que não tenham nenhuma referência específica a determinado produto ou serviço e sim à imagem da empresa ou corporação como um todo.;Falso;
DIG110;Meios De Comunicação;Emissoras de Rádio, Emissoras de Televisão, Jornais, Revistas, Sites ou Portais de Notícias.;Falso;
DIG111;Mercado Publicitário;Agências de Propaganda, Agências de Promoções, Agências de Web-Design, Produtoras de Áudio, Foto e Vídeo.;Falso;
DIG112;Móveis, Decoração e Utensílios Domésticos;Acendedores, Apetrechos de Cozinha e de Bar, Artigos de Cama, Mesa e Banho, Artesanatos, Aquecedores a Gás, Copos e Cristais, Cozinhas, Cutelaria e Talheres, Equipamentos de Segurança e Comunicação Interna, Ferragens, Lâmpadas e Luminárias, Louças e Baixelas, Materiais de Construção, Materiais Sanitários, Panelas em Geral, Papéis de Parede, Persianas e Toldos, Pisos e Revestimentos, Tapetes e Carpetes, Tubos e Conexões.;Falso;
DIG113;Política e Eleições;Associações de Classe, Cargos Públicos e Privados, Partidos Políticos.;Falso;
DIG114;Produtos e Serviços Para Agropecuária;Adubos, Defensivos, Implementos, Inseticidas, Máquinas, Produtos Veterinários, Rações Animais, Sementes e Tratores.;Falso;
DIG115;Produtos e Serviços Automotivos;Aditivos, Acessórios e Peças, Carrocerias, Combustíveis, Lubrificantes, Oficinas Mecânicas e de Lanternagem, Pneus, Postos de Serviços, Recauchutagem, Sistemas de Segurança.;Falso;
DIG116;Produtos e Serviços Para Comércio e Escritório;Arquivos, Computadores, Copiadoras, Empresas Gráficas, Empresas de Limpeza, Empresas de Vale-Refeição e Assemelhados, Fax, Impressoras, Listas Telefônicas, Máquinas de Escrever, Máquinas de Calcular, Material de Escrita, Desenho e Papelaria, Móveis Profissionais, Serviços de Entrega, Serviços e Equipamentos de Manutenção e Segurança, Software e Suprimentos de Informática.;Falso;
DIG117;Produtos e Serviços Comunitários;Defesa da Ecologia, Campanhas Educativas de Qualquer Natureza (Trânsito, Eleição, Antidrogas etc), Entidades Filantrópicas e Beneméritas, Igrejas e Cultos, Serviços Assistenciais Públicos e Privados.;Falso;
DIG118;Produtos e Serviços Para A Indústria;Bens, Consultorias, Instalações, Insumos, Maquinarias, Pesquisas de Mercado, Serviços de Carga.;Falso;
DIG119;Produtos e Serviços De Lazer e Recreação;Aparelhagens de Áudio e de Vídeo, Aparelhagens de Ginástica ou Esportivas, Baralhos, Bicicletas, Binóculos e Lunetas, Brinquedos em Geral, Equipamento e Material Fotográfico, Fliperamas, Instrumentos Musicais, Jet-Skys, Jogos em Geral, Lanchas, Locadoras de Vídeo e Videogames, Loterias, Computadores e Tablets Pessoais, Modelismo, Projetores, Serviços de Revelação Fotográfica, Trailers, Videocâmeras, Videogravadores, Videogames e Cartuchos.;Falso;
DIG120;Produtos e Serviços De Limpeza e Manutenção Do Lar;Adesivos, Abrasivos, Amaciantes de Roupas, Assistências Técnicas e Serviços de Consertos, Ceras, Detergentes Líquidos e em Pó, Esponjas de Limpeza e Assemelhados, Equipamentos de Jardinagem, Equipamentos para Piscinas, Furadeiras, Gás Engarrafado, Inseticidas e Repelentes, Limpadores Concentrados e Multiuso, Lixeiras e Sacos para Lixo, Papéis Laminados, Papéis-Toalha, Pilhas, Sabões em Barra e Assemelhados, Solventes, Tintas, Vassouras, Velas.;Falso;
DIG121;Produtos e Serviços Médicos, Farmacêuticos e De Saúde;Academias de Ginástica, Ambulâncias e Serviços de Remoção, Adoçantes Artificiais, Analgésicos, Clínicas e Hospitais, Compostos Vitamínicos, Institutos de Beleza, Lentes de Contato e para Óculos, Medicamentos em Geral, Produtos Dietéticos ou Emagrecedores, Produtos para Curativos e Enfermagem (Esparadrapos etc.), Produtos Éticos, Spas, Tratamentos Capilares, Veterinárias.;Falso;
DIG122;Produtos e Serviços Públicos;Água e Esgotos, Cemitérios, Comunicações de Governo e Órgãos Públicos em Geral, Correios, Gás Encanado, Impostos, Luz, Obras Públicas, Paramédicos, Saúde Pública, Transportes Públicos, Segurança Pública.;Falso;
DIG123;Produtos e Serviços de Telecomunicações;Serviços de Telefonia Pública ou Privada, Local ou Interurbano, Sistemas e Equipamentos de Telefonia (inclusive Telefone Celular, ISDN, ADSL etc.) e Serviços de Atendimento Telefônico, Provedores de Acesso à Internet, Televisão a Cabo, Televisão por Satélite, Televisão por Assinatura.;Falso;
DIG124;Serviços Financeiros e De Seguros;Bancos, Bolsas de Valores, Câmbio e Cheques de Viagens, Capitalização, Cartões de Crédito, Consórcios, Corretoras e Distribuidoras de Valores, Empresas de Crédito e Poupança, Financeiras, Fundos e Investimentos, Seguros em Geral, Seguros de Saúde.;Falso;
DIG125;Turismo, Transportes e Diversões Públicas;Agências de Viagens, Campings, Casas Noturnas, Cassinos, Complexos e Destinos Turísticos, Empresas Aéreas e de Navegação, Feiras, Hotéis e Assemelhados, Jardins Botânicos, Jardins Zoológicos e Assemelhados, Parques Aquáticos, Parques de Diversões, Planetários, Serviços de Locação de Automóveis, Transportes Urbanos e Rodoviários.;Falso;
DIG126;Varejo De Grande Porte;Lojas de Departamento, Redes de Mais de 15 lojas de Qualquer Setor, Shopping Centers, Supermercados e sites de e-comércio de empresas que se enquadrem nesta categoria.;Falso;
DIG127;Varejo De Pequeno e Médio Porte;Armarinhos, Bares, Bazares, Butiques, Delicatessen, Farmácias e Drogarias, Lanchonetes e Fast food, Lojas de Conveniência, Óticas, Padarias e Confeitarias, Redes de Até 15 lojas de Qualquer Setor, Revendas e Concessionárias de Veículos, Restaurantes, Outras Lojas Especializadas, Sites de Leilões e sites de e-comercio de empresas que se enquadrem nesta categoria.;Falso;
DIG128;Veículos Pessoais e Profissionais;Automóveis de Passeio, Aviões, Caminhões, Furgões, Motos, Navios, Ônibus, Utilitários. Atenção: exclusivamente comunicação de marca.;Falso;
DIG129;Vestuário e Acessórios Pessoais;Adereços, Aviamentos, Armações de Óculos, Artigos de Couro, Bolsas e Malas, Calçados e Assemelhados, Jóias, Lãs e Linhas, Lingerie e Roupas Intimas, Relógios e Canetas Especiais, Roupas e Materiais Esportivos, Roupas Infantis, Femininas e Masculinas, Tecidos.;Falso;
DIG130;Websites, Portais e Serviços Online;Trabalhos voltados para a divulgação de sites na Internet. Atenção que a categoria não é para inscrição de Websites, mas de peças e campanhas que promovam websites, portais e serviços online de empresas e instituições.;Falso;
DIG131;Produtos e Serviços Diversos;Exclusivamente para os que não se encaixem nas categorias anteriores.;Falso;
DIG200;Apresentações Especiais;Categorias julgadas levando em conta seus formatos ou utilizações, independentemente do mercado do cliente.;Verdadeiro;
DIG201;Oportunidade;Trabalhos que denotem claramente terem sido criados aproveitando uma oportunidade inesperada (uma notícia, um acontecimento imprevisto etc.). Aqui também são válidos apenas trabalhos veiculados.;Falso;
