CodCategoria;Categoria;Descricao;NomeDeGrupo
DES315;Troféu ou Símbolo Tridimensional;Objeto entregue por mérito ou vitória a competidores de disputas de qualquer natureza.;Falso;
DES400;Design de Embalagem;Peça ou conjunto de peças para o acondicionamento de produtos de natureza diversa.;Verdadeiro;
DES401;Design de Embalagem em Madeira;Peça com design original em madeira para utilização de armazenamento e transporte de produto.;Falso;
DES402;Design de Embalagem em Metal;;Falso;
DES403;Design de Embalagem em Papel, Papelão ou Similar;Peça com design original em papel, papelão ou similar para utilização de armazenamento e transporte de produto.;Falso;
DES404;Design de Embalagem em Plástico, Sintético ou Similar;Peça com design original em plástico, sintético ou similar para utilização de armazenamento e transporte de produto.;Falso;
DES405;Design de Embalagem em Vidro;Peça com design original em vidro para utilização de armazenamento e transporte de produto.;Falso;
DES406;Embalagem Display;Embalagem que também possa ser utilizada em balcões ou vitrines para a exibição do produto.;Falso;
DES407;Embalagem Multipack;Embalagem que acondicione mais de um item de produto, da mesma linha ou não.;Falso;
DES408;Embalagem ou Rótulo de Alimento ou Bebida;Arte aplicada em embalagem já padronizada para acondicionamento de alimento ou bebida.;Falso;
DES409;Embalagem ou Rótulo de Produto de Uso Pessoal;Arte aplicada em embalagem já padronizada para acondicionamento de produtos de uso pessoal.;Falso;
DES410;Embalagem ou Rótulo de Produto para o Lar;Arte aplicada em embalagem já padronizada para acondicionamento de produto para o lar.;Falso;
DES411;Embalagem ou Rótulo de Produto Técnico ou Profissional;Arte aplicada em embalagem já padronizada para acondicionamento de produto técnico ou profissional.;Falso;
DES412;Embalagem Promocional;Embalagem desenvolvida como peça integrante de campanha promocional.;Falso;
DES413;Saco, Sacola ou Papel para Embrulho;Inclusive Papel de Presente.;Falso;
DIG000;Digital;Banners, popups, layers, websites, hotsites, etc. destinados a visualização através de suportes digitais, como smartphones, tablets, computadores etc.;Verdadeiro;
DIG100;Mercado;Categorias em que também se levará em conta a adequação ao tipo de produto ou serviço anunciado.;Verdadeiro;
DIG101;Alimentos;Achocolatados, Balas, Biscoitos, Bombons, Caldos e Sopas, Carnes, Cereais, Chocolates, Condimentos, Confeitos, Enlatados, Frios, Frutas, Iogurtes Cremosos ou Líquidos, Guloseimas, Leite e Derivados, Manteigas, Margarinas e Assemelhados, Massas, Misturas ou Produtos Pré e Semipreparados, Molhos, Pães e Bolos, Rações para Animais Domésticos, Salgados, Sobremesas, Sorvetes;Falso;
DIG102;Bebidas Alcoólicas;Aguardentes, Aperitivos, Cervejas, Chopp, Destilados, Licores, Vinhos.;Falso;
DIG103;Bebidas Não-Alcoólicas;Águas Minerais, Café, Chá, Coolers, Energéticos, Isotônicos, Mate, Refrescos em Pó, Refrigerantes, Sucos Naturais e Artificiais.;Falso;
DIG104;Cigarros e Tabaco;Cachimbos, Charutos, Cigarrilhas, Cigarros, Fumo em Geral, Papel para Enrolar Fumo.;Falso;
